,Date,Pptn,PET,S,G,ET,streamflow_mm
232,1999-05-31,224.3642476038443,362.4604972453125,232.26528413834114,556.2780019288423,76.93564456421882,7.27666150841158
233,1999-06-30,260.23611970746083,229.52244796875,251.51565235985646,594.8071677737768,84.31678893975914,47.69043134044266
234,1999-07-31,279.69144057105166,139.39758890859378,285.04781975284686,679.2227200743973,80.19342147745192,81.56953944856963
235,1999-08-31,398.647379679876,113.126108203125,348.30917555286044,860.4668743994928,80.39910353254525,332.60110437279127
236,1999-09-30,281.19057873893763,103.049021390625,393.6743334452312,994.2773643493653,75.5753042176366,204.30112820019366
237,1999-10-31,349.1559029480645,124.94677213828123,393.93807039978685,1002.1232066821027,77.7835641754791,280.92227467427523
238,1999-11-30,11.363951458171456,158.66839659375,359.53129560682515,958.1496887207032,82.00507471337914,117.09831123665356
239,1999-12-31,0.0,170.63171127421876,314.43411357428437,852.833669600948,59.63389459066094,10.317724300665613
240,2000-01-31,4.137566194135741,198.7211690578125,276.1358808291856,754.924815844464,46.81924906326458,5.7836909586596725
241,2000-02-29,36.308029658670776,191.3887817578125,256.46767329073504,686.1055896802883,34.07602751394734,5.897323381327398
242,2000-03-31,4.938449448405309,321.7125319875001,231.56974376145234,633.4358790818081,26.044140255544328,4.449805800642582
243,2000-04-30,61.50032923771415,387.74624568750005,216.6427162170409,583.2221775902643,22.94542221352458,3.64630495930528
244,2000-05-31,161.01704296262966,371.7484102968749,217.63096411510185,553.7396633599393,52.46931166620925,5.553136753720686
245,2000-06-30,302.70334126252413,192.88770721875,248.95876606835262,582.7773325178358,72.24339083768427,30.03733544632048
246,2000-07-31,268.24200573996825,131.778103921875,262.09928691002625,624.3407698600523,65.12057043146342,102.99662726115271
247,2000-08-31,231.76101390970348,130.68937421015622,277.8708352529874,681.9339399440314,73.68468192871659,64.20700365276011
248,2000-09-30,267.0612174917756,123.5157704296875,290.7733959409926,725.0847085740829,77.39767665043473,148.6556298525004
249,2000-10-31,43.88011374844391,157.14326402578126,270.19262510730374,714.9197004584854,86.11644494812937,28.242939943807887
250,2000-11-30,6.327202096968657,184.30540410937505,247.37869546678328,665.6674722459583,73.2417069375515,9.292440879998765
251,2000-12-31,0.0,191.42560503281246,232.24644220003518,617.5542671039539,44.77346192579718,4.605701510337601
252,2001-01-31,0.39593970164049996,220.04254740937503,221.8004823089928,582.7381626662387,27.36233272589743,3.956700892802905
253,2001-02-28,4.302824426742044,252.59593905,212.9441926365807,554.6131445566813,15.942502417601645,3.0037833834139205
254,2001-03-31,61.64768160549232,321.48353401875,216.26191262275935,540.5545971778132,32.510568271391094,3.0816315606976854
255,2001-04-30,43.16755734990569,350.498998125,210.9108133739895,527.9942262861464,17.671216512098912,3.1685503962821184
256,2001-05-31,114.64486386831007,349.88897565,219.60746502619915,525.5074086753273,46.334759762976326,2.542375940844713
257,2001-06-30,324.39709140475463,149.8062289921875,270.47610615624325,589.9023225996231,68.44939361326396,20.98920427505733
258,2001-07-31,551.8906776738704,102.587755078125,313.73266499016887,770.8542620751165,65.45968630816786,246.5726884652784
259,2001-08-31,363.35571167433375,122.2087679296875,346.7485351152318,877.6991303966893,83.53224867023528,133.30608245649321
260,2001-09-30,119.0878787478594,132.1565960390625,366.1939215342205,963.6848352220326,85.117950104177,56.71962377459454
